data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
25/11/2022;08:42:00;54;AC02-ACIDENTE COM VÍTIMA;658;BR-163/PA;Norte;Colisão Frontal;1;;;;;;;;;1;1;;1;;
25/11/2022;15:32:00;166;AC03-ACIDENTE SEM VÍTIMA;464,427;BR-163/PA;Sul;Colisão Traseira;;;2;;;1;;;;;3;;;;
25/11/2022;16:32:00;174;AC03-ACIDENTE SEM VÍTIMA;894,6;BR-163/MT;Sul;Capotamento;1;;;;;;;;;;1;;;;
25/11/2022;19:49:00;198;AC02-ACIDENTE COM VÍTIMA;107,974;BR-163/PA;Sul;Capotamento;1;;;;;;;;;;0;1;;;
25/11/2022;21:28:00;211;AC03-ACIDENTE SEM VÍTIMA;313,1;BR-163/PA;Norte;Choque - Suporte de Sinalização;1;;;;;;;;;;2;;;;
26/11/2022;13:54:00;128;AC02-ACIDENTE COM VÍTIMA;1009,788;BR-163/MT;Norte;Colisão Transversal;1;;1;;;;;;;;4;1;;;
26/11/2022;15:55:00;151;AC03-ACIDENTE SEM VÍTIMA;949;BR-163/MT;Norte;Colisão Traseira;1;;;;;;;;;2;5;;;;
26/11/2022;17:43:00;173;AC03-ACIDENTE SEM VÍTIMA;160,491;BR-163/PA;Norte;Colisão Frontal;;;;1;;;;;;;1;;;;
26/11/2022;19:32:00;183;AC02-ACIDENTE COM VÍTIMA;1123,638;BR-230/PA;Leste;Choque - Outros;;;;1;;1;;;;;1;1;;;
27/11/2022;03:25:00;20;AC02-ACIDENTE COM VÍTIMA;1037,085;BR-163/MT;Norte;Choque - Veiculo parado na pista;2;;;;;;;;;;1;1;;;
27/11/2022;12:11:00;111;AC03-ACIDENTE SEM VÍTIMA;654;BR-163/PA;Norte;Capotamento;1;;;;;;;;;;2;;;;
27/11/2022;13:21:00;119;AC02-ACIDENTE COM VÍTIMA;362,359;BR-163/PA;Sul;Colisão Lateral;;;1;;;;;;;1;0;3;;1;
28/11/2022;09:35:00;87;AC02-ACIDENTE COM VÍTIMA;244,971;BR-163/PA;Sul;Colisão Traseira;;;2;;;1;;;;;2;1;;;
29/11/2022;00:25:00;3;AC03-ACIDENTE SEM VÍTIMA;855,155;BR-163/MT;Sul;Choque - Talude;1;;;;;;;;;;3;;;;
29/11/2022;15:46:00;207;AC02-ACIDENTE COM VÍTIMA;465,1;BR-163/PA;Norte;Colisão Traseira;;;2;;;;;;;;1;1;;;
29/11/2022;16:19:00;209;AC02-ACIDENTE COM VÍTIMA;522,798;BR-163/PA;Norte;Saida de Pista;;;;;;;;;;1;0;1;;;
30/11/2022;05:35:00;52;AC03-ACIDENTE SEM VÍTIMA;955,19;BR-163/MT;Sul;Colisão Traseira;;;2;;;;;;;;2;;;;
30/11/2022;05:44:00;53;AC02-ACIDENTE COM VÍTIMA;10,339;BR-163/PA;Sul;Colisão Lateral;;;1;;;1;;;;1;2;;;1;
30/11/2022;20:09:00;184;AC03-ACIDENTE SEM VÍTIMA;983;BR-163/MT;Norte;Tombamento;1;;;;;;;;;;3;;;;
30/11/2022;22:30:00;192;AC03-ACIDENTE SEM VÍTIMA;403;BR-163/PA;Sul;Colisão Lateral;1;;1;;;;;;;;4;;;;
